survey,acid,ID,UTC,peak,itrk,type,lat,lon,pdist
1604,30,1604_30,7/8/2016 22:18,A,1,best,22.34669841,-158.5862673,12750
1705,226,1705_226,10/20/2017 23:27,A,1,best,25.21627707,-166.6224853,-1000
1706,179,1706_179,8/21/2017 23:54,A,1,best,29.97302058,-179.9090039,-12500
1706,79,1706_79,7/23/2017 4:21,A,1,best,24.89262499,-171.7692401,-3000
1706,98,1706_98,7/26/2017 4:32,A,1,best,23.30274089,-168.7307696,-7500
1303,20,1303_20,5/13/2013 18:42,A,1,best,24.5332758,-168.5413602,-15000
1303,54,1303_54,5/18/2013 18:38,A,1,best,25.60401908,-174.1942218,6250
1303,71,1303_71,5/22/2013 16:53,A,1,best,26.10933051,-175.2836333,-11000
1303,72,1303_72,5/22/2013 18:03,A,1,best,26.3596533,-175.0658443,8000
1303,74,1303_74,5/23/2013 4:31,A,1,best,26.64702713,-173.7529534,-5000
1604,48,1604_48,7/11/2016 4:13,A,1,best,20.84458006,-155.1705718,5000
1604,57,1604_57,7/11/2016 22:33,A,1,best,19.53204222,-154.4922579,-11250
1604,57,1604_57,7/11/2016 22:33,A,2,best,19.56577798,-154.4337175,-6000
1604,67,1604_67,7/12/2016 18:58,A,1,best,20.38987555,-154.7639084,15000
1641,164,1641_164,9/19/2010 20:36,A,1,best,21.03616017,-154.6760165,-5000
1641,171,1641_171,9/20/2010 21:46,A,1,best,21.59989308,-156.6780495,4000
1641,339,1641_339,11/16/2010 0:17,A,1,best,24.59271509,179.8590373,-6000
1641,36,1641_36,8/18/2010 20:20,A,1,best,18.98612288,-152.2554881,13000
1641,368,1641_368,11/26/2010 2:02,A,1,best,22.78265278,-161.6569702,250
1641,37,1641_37,8/18/2010 20:30,A,1,best,18.85429601,-152.4185389,-5500
1641,60,1641_60,8/26/2010 22:15,A,1,best,23.94655554,-159.6165915,4750
1641,69,1641_69,9/1/2010 22:43,A,1,best,28.79269843,-176.3473531,1750
1641,76,1641_76,9/3/2010 21:59,A,1,best,30.58823315,179.1480688,2000
1641,80,1641_80,9/4/2010 19:55,A,1,best,29.87777791,-177.7932379,-4750
1705,163,1705_163,9/24/2017 23:21,A,1,best,21.15080103,-165.5780486,-6750
1705,181,1705_181,9/28/2017 4:13,A,1,best,22.36510303,-171.2432548,-3750
1705,196,1705_196,10/2/2017 3:12,A,1,best,25.36348228,-176.7901993,2000
1705,221,1705_221,10/18/2017 17:51,A,1,best,23.84799156,-160.9274583,1250
1705,223,1705_223,10/20/2017 2:46,A,1,best,24.88034524,-165.4292496,-5750
1705,235,1705_235,10/22/2017 17:18,A,1,best,24.82074782,-168.886571,-18250
1705,246,1705_246,10/25/2017 20:35,A,1,best,25.92491376,-169.8352504,-8250
1705,249,1705_249,10/27/2017 1:50,A,1,best,27.49356182,-172.3974681,6250
1705,251,1705_251,10/27/2017 2:31,A,1,best,27.56965371,-172.567864,10000
1705,261,1705_261,10/28/2017 0:06,A,1,best,26.81492615,-172.6346368,12250
1705,352,1705_352,11/21/2017 2:00,A,1,best,23.7648594,-160.4148429,6750
1705,367,1705_367,11/22/2017 22:12,A,1,best,21.68218575,-155.0436934,4750
1705,382,1705_382,11/25/2017 0:00,A,1,best,22.04142006,-153.5686093,3000
1705,226,1705_226,10/20/2017 23:27,A,1,min,25.2338272,-166.6178238,-2565
1706,112,1706_112,7/31/2017 1:40,A,1,best,19.30354294,-159.0952038,3500
1706,135,1706_135,8/10/2017 15:43,A,1,best,21.40048528,-156.5980232,7000
1706,154,1706_154,8/14/2017 18:24,A,1,best,27.50748649,-166.2626686,3000
1706,156,1706_156,8/14/2017 23:07,A,1,best,27.60746405,-167.0034101,-5750
